"HOUSEID","PERSONID","TRIPID","SEQ_TRIPID","VEHCASEID","FRSTHM","PARK","HHMEMDRV","TDWKND","TRAVDAY","LOOP_TRIP","DWELTIME","PUBTRANS","TRIPPURP","WHYFROM","WHYTRP1S","TRVLCMIN","STRTTIME","ENDTIME","TRPHHVEH","VEHID","TRPTRANS","NUMONTRP","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","NONHHCNT","HHACCCNT","WHODROVE","DRVR_FLG","PSGR_FLG","WHODROVE_IMP","PARK2_PAMOUNT","PARK2_PAYTYPE","PARK2","WHYTO","WALK","TRPMILES","WTTRDFIN","WTTRDFIN5D","WTTRDFIN2D","TDCASEID","VMT_MILE","GASPRICE","WHYTRP90","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","R_AGE","R_SEX","WORKER","DRIVER","R_RACE","R_HISP","PROXY","EDUC","PRMACT","R_SEX_IMP","VEHTYPE"
"9000013068","03","02","02","900001306801","01","-1","01","01","01","02",-9,"02","03","17","01",90,"1900","2030","01","01","03",5,"01","01","01","01","01","-1","-1","-1","-1","-1",0,"05","01","02","01","01",-1,"-1","-1","01","01",94.2672467371038,3028127.9513,0,1458405.15368243,"90000130680302",-1,"350.2","08",2,"01","02","01","01","02",2,"12","10","01",5,2,"04","02","04","04","06","02","202202",1,"1022",6,"01","-1","-1","01","02","02","-1","-1","01","03"
"9000013081","01","01","01","900001308101","01","02","01","02","05","02",75,"02","04","01","30",20,"1025","1045","01","01","03",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","11","02",9.31199502796768,3134381.0949,5680089.89496,0,"90000130810101",9.31199502796768,"344.9","06",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",62,"02","02","01","01","02","01","03","05","02","03"
"9000013081","01","02","02","900001308101","01","02","01","02","05","02",60,"02","05","11","40",15,"1200","1215","01","01","03",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","13","02",2.48042262274705,3134381.0949,5680089.89496,0,"90000130810102",2.48042262274705,"344.9","03",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",62,"02","02","01","01","02","01","03","05","02","03"
"9000013081","01","03","03","900001308101","01","02","01","02","05","02",-9,"02","02","13","01",20,"1315","1335","01","01","03",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","01","01",8.6152889993785,3134381.0949,5680089.89496,0,"90000130810103",8.6152889993785,"344.9","06",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",62,"02","02","01","01","02","01","03","05","02","03"
"9000013081","02","01","01","900001308102","01","02","01","02","05","02",10,"02","04","01","40",15,"1100","1115","01","02","04",1,"02","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","14","02",4.31758856432567,4442143.6519,7625785.89058,0,"90000130810201",4.31758856432567,"344.9","04",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",60,"01","01","01","01","02","01","03","-1","01","04"
"9000013081","02","02","02","900001308102","01","02","01","02","05","02",170,"02","04","14","01",15,"1125","1140","01","02","04",1,"02","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","01","01",4.31758856432567,4442143.6519,7625785.89058,0,"90000130810202",4.31758856432567,"344.9","04",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",60,"01","01","01","01","02","01","03","-1","01","04"
"9000013081","02","03","03","900001308102","01","02","01","02","05","02",107,"02","01","01","10",13,"1430","1443","01","02","04",1,"02","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","03","02",4.36420136730889,4442143.6519,7625785.89058,0,"90000130810203",4.36420136730889,"344.9","01",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",60,"01","01","01","01","02","01","03","-1","01","04"
"9000013081","02","04","04","900001308102","01","02","01","02","05","02",-9,"02","01","03","01",13,"1630","1643","01","02","04",1,"02","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","01","01",4.36420136730889,4442143.6519,7625785.89058,0,"90000130810204",4.36420136730889,"344.9","01",2,"02","02","01","01","02",2,"13","06","01",2,3,"10","03","03","04","06","02","202202",1,"1022",60,"01","01","01","01","02","01","03","-1","01","04"
"9000013086","01","01","01","-1","01","02","-1","01","01","01",-9,"02","03","01","50",30,"1100","1130","-1","-1","20",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","-1","-1","-1","-1",-1,"-1","-1","16","-1",0,6291084.4779,0,12544415.6909111,"90000130860101",-1,"341.9","10",2,"02","02","01","01","02",2,"12","06","01",2,2,"10","02","04","01","03","01","202201",0,"1021",75,"01","02","01","01","02","01","03","05","01","-1"
"9000013099","01","01","01","900001309901","01","02","01","02","04","02",4,"02","02","01","80",8,"0830","0838","01","01","01",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","12","02",3.7041640770665,2332413.5631,2211439.17085,0,"90000130990101",3.7041640770665,"350.2","10",2,"01","01","01","01","02",2,"11","11","01",2,2,"02","01","04","01","04","01","202202",2,"1021",38,"01","01","01","01","02","01","06","-1","01","01"
"9000013099","01","02","02","900001309901","01","02","01","02","04","02",-9,"02","02","12","01",8,"0842","0850","01","01","01",1,"01","02","-1","-1","-1","-1","-1","-1","-1","-1",0,"01","01","01","02","01",-1,"-1","-1","01","01",3.0130515848353,2332413.5631,2211439.17085,0,"90000130990102",3.0130515848353,"350.2","10",2,"01","01","01","01","02",2,"11","11","01",2,2,"02","01","04","01","04","01","202202",2,"1021",38,"01","01","01","01","02","01","06","-1","01","01"
"9000013122","01","01","01","-1","02","02","-1","01","07","02",55,"02","02","01","80",20,"1000","1020","02","-1","20",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1",0,"02","-1","-1","-1","-1",-1,"-1","-1","12","-1",0.921690490988191,5655785.4834,0,5629138.25438393,"90000131220101",-1,"425.8","10",3,"01","02","01","01","02",3,"13","11","01",3,2,"10","03","03","04","06","02","202203",2,"1021",69,"02","01","01","01","02","01","06","-1","02","-1"
